Total shared strings: 1522
Total rows in sheet1: 1024771

=== FIRST 20 ROWS ===
Row 1: A=קוד_למס | B=שם_רשות | C=קוד_רשות | D=שנת_דוח | E=תקופה | F=שנת_נתונים | G=דוח | H=גליון | I=שורה | J=עמודה | K=קוד | L=ערך
Row 2: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=יתרה לתחילת שנה | J=שנה נוכחית | K=1 | L=624
Row 3: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=יתרה לתחילת שנה | J=שנה קודמת | K=2 | L=615
Row 4: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=שינויים ביתרה לתחילת השנה - סכומים להקטנת גרעונות כולל מלוות | J=שנה נוכחית | K=3 | L=-600
Row 5: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=שינויים ביתרה לתחילת השנה - סכומים להקטנת גרעונות כולל מלוות | J=שנה קודמת | K=4 | L=0
Row 6: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=תוצאת השנה - טופס 2 | J=שנה נוכחית | K=5 | L=-81
Row 7: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=תוצאת השנה - טופס 2 | J=שנה קודמת | K=6 | L=9
Row 8: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=סהכ עודף / גרעון בתקציב הרגיל המצטבר לסוף השנה | J=שנה נוכחית | K=9 | L=-57
Row 9: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=נתונים לטופס 1 | I=סהכ עודף / גרעון בתקציב הרגיל המצטבר לסוף השנה | J=שנה קודמת | K=10 | L=624
Row 10: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=נכסים נזילים קופה ובנקים | J=שנה נוכחית | K=11 | L=4962
Row 11: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=נכסים נזילים קופה ובנקים | J=שנה קודמת | K=12 | L=2701
Row 12: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=הכנסות מתוקצבות שטרם נגבו | J=שנה נוכחית | K=13 | L=5164
Row 13: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=הכנסות מתוקצבות שטרם נגבו | J=שנה קודמת | K=14 | L=2109
Row 14: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=חייבים - תשלומים לא מתוקצבים | J=שנה נוכחית | K=15 | L=84
Row 15: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=חייבים - תשלומים לא מתוקצבים | J=שנה קודמת | K=16 | L=58
Row 16: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=השקעות מיועדות לכיסוי קרנות לעבודות פיתוח ולעודפים זמניים בתקציבים בלתי רגילים | J=שנה נוכחית | K=23 | L=2459
Row 17: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=השקעות מיועדות לכיסוי קרנות לעבודות פיתוח ולעודפים זמניים בתקציבים בלתי רגילים | J=שנה קודמת | K=24 | L=3888
Row 18: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=השקעות במימון קרנות בלתי מתוקצבות | J=שנה נוכחית | K=25 | L=272
Row 19: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2023 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=השקעות במימון קרנות בלתי מתוקצבות | J=שנה קודמת | K=26 | L=238
Row 20: A=2937 | B=אבו גוש | C=90472 | D=2024 | E=שנתי | F=2024 | G=דוח כספי שנתי מבוקר | H=טופס 1 אקטיב | I=השקעות במימון קרנות מתוקצבות ואחרות | J=שנה נוכחית | K=27 | L=8207
