Code 1015 | Name: יבנאל | MuniType: קריית אתא | Pop: 26534
Code 1020 | Name: עבירות כלפי הסדר הציבורי | MuniType: אלפי מ"ק  | Pop: 25922
Code 1031 | Name: ערד | MuniType: אלפי מ"ק  | Pop: 37239
Code 1034 | Name: נס ציונה | MuniType: אלפי מ"ק  | Pop: 27959
Code 1054 | Name: פרדס חנה-כרכור | MuniType: קריית אתא | Pop: 24782
Code 1059 | Name: זכרון יעקב | MuniType: קריית אתא | Pop: 21849
Code 1060 | Name: מעלה הגליל | MuniType: קריית אתא | Pop: 19362
Code 1061 | Name: טירת כרמל | MuniType: אלפי מ"ק  | Pop: 45805
Code 1063 | Name: טייבה | MuniType: אלפי מ"ק  | Pop: 23042
Code 1066 | Name: אבן יהודה | MuniType: קריית אתא | Pop: 6579
Code 1113 | Name: מענק מיוחד - מענק שמתקבל ברשות בעקבות החלטה מיוחדת של שר הפנים. לדוגמה מענק ביטחון, מענק בחירות. מענק מיועד - מענק שמתקבל ממשרד הפנים ומיועד לסעיף ספציפי. אינו  מענק לכיסוי גירעון.  | MuniType: קריית אתא | Pop: 10459
Code 1137 | Name: סביון | MuniType: קריית אתא | Pop: 7839
Code 1139 | Name: גבעת שמואל | MuniType: אלפי מ"ק  | Pop: 47941
Code 1161 | Name: נתניה | MuniType: אלפי מ"ק  | Pop: 77997
Code 1192 | Name: מזרעה | MuniType: קריית אתא | Pop: 21259
Code 1200 | Name: חדרה | MuniType: אלפי מ"ק  | Pop: 100052
Code 122 | Name: עמנואל | MuniType: קריית אתא | Pop: 7953
Code 1224 | Name: הר אדר | MuniType: קריית אתא | Pop: 9008
Code 1247 | Name: ג'ולס | MuniType: אלפי מ"ק  | Pop: 41574
Code 1263 | Name: חורה | MuniType: קריית אתא | Pop: 5534
Code 1268 | Name: כסיפה | MuniType: קריית אתא | Pop: 11608
Code 1271 | Name: יאנוח-ג'ת | MuniType: קריית אתא | Pop: 8027
Code 1286 | Name: ערערה | MuniType: קריית אתא | Pop: 16736
Code 1290 | Name: בנימינה-גבעת עדה | MuniType: קריית אתא | Pop: 7953
Code 1292 | Name: אלקנה | MuniType: קריית אתא | Pop: 20231
Code 1295 | Name: גני תקווה | MuniType: קריית אתא | Pop: 6890
Code 1296 | Name: זמר | MuniType: קריית אתא | Pop: 9549
Code 1303 | Name: בענה | MuniType: קריית אתא | Pop: 23034
Code 1304 | Name: ערערה-בנגב | MuniType: קריית אתא | Pop: 23592
Code 1309 | Name: עבירות רכוש | MuniType: אלפי מ"ק  | Pop: 50846
Code 1326 | Name: אזור | MuniType: קריית אתא | Pop: 12002
Code 1327 | Name: כפר ורדים | MuniType: קריית אתא | Pop: 15486
Code 154 | Name: פקיעין (בוקייעה) | MuniType: קריית אתא | Pop: 14771
Code 166 | Name: בועיינה-נוג'ידאת | MuniType: קריית אתא | Pop: 25144
Code 168 | Name: ירושלים | MuniType: אלפי מ"ק  | Pop: 29820
Code 171 | Name: מעלה אפרים | MuniType: קריית אתא | Pop: 7973
Code 182 | Name: קריית ים | MuniType: קריית אתא | Pop: 15370
Code 195 | Name: מצפה רמון | MuniType: קריית אתא | Pop: 22655
Code 2034 | Name: ג'דיידה-מכר | MuniType: קריית אתא | Pop: 11013
Code 2100 | Name: אשקלון | MuniType: אלפי מ"ק  | Pop: 32167
Code 2200 | Name: אור עקיבא | MuniType: אלפי מ"ק  | Pop: 39590
Code 229 | Name: בוקעאתא | MuniType: אלפי מ"ק  | Pop: 25488
Code 2300 | Name: סאג'ור | MuniType: קריית אתא | Pop: 19158
Code 240 | Name: בית שמש | MuniType: אלפי מ"ק  | Pop: 24928
Code 2400 | Name: קלה | MuniType: אלפי מ"ק  | Pop: 41130
Code 246 | Name: יבנה | MuniType: אלפי מ"ק  | Pop: 56019
Code 2500 | Name: שפלת הגליל | MuniType: אלפי מ"ק  | Pop: 22896
Code 2530 | Name: נפשות לקמ"ר | MuniType: אלפי מ"ק  | Pop: 37491
Code 2550 | Name: אעבלין | MuniType: קריית אתא | Pop: 31389
Code 2560 | Name: קסם | MuniType: אלפי מ"ק  | Pop: 29504
Code 26 | Name: עילוט | MuniType: קריית אתא | Pop: 3308
Code 2600 | Name: עבירות מוסר | MuniType: אלפי מ"ק  | Pop: 56004
Code 2610 | Name: עירון | MuniType: אלפי מ"ק  | Pop: 176786
Code 2620 | Name: מגדל העמק | MuniType: אלפי מ"ק  | Pop: 45049
Code 2630 | Name: מעלות-תרשיחא | MuniType: אלפי מ"ק  | Pop: 72140
Code 2640 | Name: נשר | MuniType: אלפי מ"ק  | Pop: 79023
Code 2650 | Name: עפולה | MuniType: אלפי מ"ק  | Pop: 48860
Code 2660 | Name: באר שבע | MuniType: אלפי מ"ק  | Pop: 58090
Code 267 | Name: טובא-זנגרייה | MuniType: קריית אתא | Pop: 1981
Code 2710 | Name: לבנייה | MuniType: אלפי מ"ק  | Pop: 60209
Code 2720 | Name: אשדוד | MuniType: אלפי מ"ק  | Pop: 27680
Code 2730 | Name: אזור יהודה והשומרון | MuniType: אלפי מ"ק  | Pop: 46870
Code 28 | Name: ירכא | MuniType: קריית אתא | Pop: 16334
Code 29 | Name: ג'ת | MuniType: קריית אתא | Pop: 1930
Code 3000 | Name: - | MuniType: אלפי מ"ק  | Pop: 1050153
Code 31 | Name: קטלנית | MuniType: אלפי מ"ק  | Pop: 39893
Code 3557 | Name: מעלה עירון | MuniType: קריית אתא | Pop: 4564
Code 3560 | Name: רמלה | MuniType: קריית אתא | Pop: 4493
Code 3570 | Name: עבירות רישוי | MuniType: אלפי מ"ק  | Pop: 22191
Code 3574 | Name: תל אביב-יפו | MuniType: קריית אתא | Pop: 6359
Code 3608 | Name: כפר ברא | MuniType: קריית אתא | Pop: 1747
Code 3611 | Name: נחף | MuniType: קריית אתא | Pop: 7698
Code 3616 | Name: טבריה | MuniType: אלפי מ"ק  | Pop: 35846
Code 3640 | Name: עומר | MuniType: קריית אתא | Pop: 10541
Code 3650 | Name: רמת השרון | MuniType: קריית אתא | Pop: 12114
Code 3652 | Name: אבו גוש | MuniType: קריית אתא | Pop: 5627
Code 3660 | Name: מגדל | MuniType: קריית אתא | Pop: 5675
Code 3730 | Name: אלפי מנשה | MuniType: קריית אתא | Pop: 25104
Code 3750 | Name: רחובות | MuniType: קריית אתא | Pop: 8038
Code 3760 | Name: קריית מלאכי | MuniType: קריית אתא | Pop: 10089
Code 3769 | Name: בני עי"ש | MuniType: קריית אתא | Pop: 4339
Code 3780 | Name: .. | MuniType: אלפי מ"ק  | Pop: 71697
Code 3797 | Name: חולון | MuniType: אלפי מ"ק  | Pop: 89627
Code 3826 | Name: מטה בנימין | MuniType: קריית אתא | Pop: 8836
Code 4000 | Name: סה"כ  | MuniType: אלפי מ"ק  | Pop: 297082
Code 4001 | Name: שפרעם | MuniType: קריית אתא | Pop: 6982
Code 41 | Name: רהט | MuniType: קריית אתא | Pop: 3855
Code 4100 | Name: משהד | MuniType: קריית אתא | Pop: 8013
Code 4201 | Name: ירוחם | MuniType: קריית אתא | Pop: 11264
Code 4203 | Name: כסרא-סמיע | MuniType: קריית אתא | Pop: 4205
Code 43 | Name: כוכב יאיר | MuniType: קריית אתא | Pop: 2248
Code 4501 | Name: כפר שמריהו | MuniType: קריית אתא | Pop: 2738
Code 4502 | Name: מג'ד אל-כרום | MuniType: קריית אתא | Pop: 2470
Code 46 | Name: ג'ש (גוש חלב) | MuniType: קריית אתא | Pop: 4801
Code 466 | Name: הגליל המרכזי | MuniType: קריית אתא | Pop: 7728
