Code 2751 | Name: מטה יהודה | MoinCode: 1026
Code 2752 | Name: ירושלים | MoinCode: 13000
Code 2753 | Name: חיפה | MoinCode: 14000
Code 2754 | Name: תל אביב-יפו | MoinCode: 15000
Code 2755 | Name: רמת גן | MoinCode: 18600
Code 2756 | Name: הגליל העליון | MoinCode: 2101
Code 2757 | Name: מרום הגליל | MoinCode: 2102
Code 2758 | Name: מבואות החרמון | MoinCode: 2155
Code 2759 | Name: הגליל התחתון | MoinCode: 2203
Code 2760 | Name: עמק הירדן | MoinCode: 2206
Code 2761 | Name: עמק המעיינות | MoinCode: 2307
Code 2762 | Name: הגלבוע | MoinCode: 2308
Code 2763 | Name: עמק יזרעאל | MoinCode: 2309
Code 2764 | Name: מגידו | MoinCode: 2313
Code 2765 | Name: מטה אשר | MoinCode: 2404
Code 2766 | Name: משגב | MoinCode: 2456
Code 2768 | Name: בני ברק | MoinCode: 26100
Code 2769 | Name: בת ים | MoinCode: 26200
Code 2770 | Name: גבעתיים | MoinCode: 26300
Code 2771 | Name: הרצליה | MoinCode: 26400
Code 2772 | Name: חדרה | MoinCode: 26500
Code 2773 | Name: חולון | MoinCode: 26600
Code 2774 | Name: כפר סבא | MoinCode: 26900
Code 2775 | Name: נתניה | MoinCode: 27400
Code 2776 | Name: פתח תקווה | MoinCode: 27900
Code 2777 | Name: ראשון לציון | MoinCode: 28300
Code 2778 | Name: רחובות | MoinCode: 28400
Code 2779 | Name: נהריה | MoinCode: 29100
Code 2780 | Name: גולן | MoinCode: 2971
Code 2781 | Name: אשדוד | MoinCode: 30070
Code 2782 | Name: נוף הגליל | MoinCode: 31061
Code 2783 | Name: זבולון | MoinCode: 3112
Code 2784 | Name: מנשה | MoinCode: 3214
Code 2785 | Name: חוף הכרמל | MoinCode: 3215
Code 2786 | Name: דימונה | MoinCode: 32200
Code 2787 | Name: אלונה | MoinCode: 3245
Code 2788 | Name: אילת | MoinCode: 32600
Code 2789 | Name: קרית גת | MoinCode: 32630
Code 2790 | Name: קרית שמונה | MoinCode: 32800
Code 2791 | Name: טבריה | MoinCode: 36700
Code 2792 | Name: קרית אתא | MoinCode: 36800
Code 2793 | Name: לוד | MoinCode: 37000
Code 2794 | Name: אשקלון | MoinCode: 37100
Code 2795 | Name: נצרת | MoinCode: 37300
Code 2796 | Name: עכו | MoinCode: 37600
Code 2797 | Name: עפולה | MoinCode: 37700
Code 2798 | Name: צפת | MoinCode: 38000
Code 2799 | Name: קרית מוצקין | MoinCode: 38200
Code 2801 | Name: שפרעם | MoinCode: 38800
Code 2802 | Name: באר שבע | MoinCode: 39000
Code 2803 | Name: קרית ביאליק | MoinCode: 39500
Code 2804 | Name: קרית ים | MoinCode: 39600
Code 2805 | Name: אזור | MoinCode: 40565
Code 2806 | Name: גבעת שמואל | MoinCode: 40681
Code 2807 | Name: עמק חפר | MoinCode: 4116
Code 2808 | Name: לב השרון | MoinCode: 4118
Code 2809 | Name: חוף השרון | MoinCode: 4119
Code 2810 | Name: דרום השרון | MoinCode: 4220
Code 2811 | Name: חבל מודיעין | MoinCode: 4225
Code 2812 | Name: קרית טבעון | MoinCode: 42300
Code 2813 | Name: נשר | MoinCode: 42500
