"code","name","type","district","population","cbs_socio_cluster","cbs_periphery_cluster","nurture_decile","total_pupils","pupils_pre_k","pupils_primary","pupils_secondary","pupils_special_ed","special_ed_pct","special_ed_muni_burden_nis","transport_expense_k_nis","transport_deficit_per_pupil_nis","informal_edu_per_pupil_nis","classroom_shortage_units","gafen_basket_per_pupil_nis","non_res_arnona_k_nis","arnona_per_pupil_nis","muni_self_spend_per_pupil_nis","gov_standard_per_pupil_nis","gov_differential_per_pupil_nis","gov_total_per_pupil_nis","parents_co_pay_per_pupil_nis","lost_matching_per_pupil_nis","total_spending_per_pupil_nis","matching_capacity_score","equity_category","equity_category_code","national_avg_diff_pct"
"5000","תל אביב-יפו","עירייה","תל אביב","475000","8","10","3","76500","13770","33660","22950","6120","8","28500","145000","650","3400","45","1450","2650000","34641","14200","13800","1800","15600","4800","0","34600","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18.4"
"6400","הרצליה","עירייה","תל אביב","108000","8","10","3","22400","4032","9856","6720","1792","8","26000","42000","580","3200","12","1400","580000","25893","12900","13800","1600","15400","4600","0","32900","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","12.6"
"2650","רמת השרון","עירייה","תל אביב","49000","9","10","2","11200","2016","4928","3360","896","8","27500","22000","520","3600","5","1350","210000","18750","13500","13800","1200","15000","5100","0","33600","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","15"
"6300","גבעתיים","עירייה","תל אביב","62000","9","10","2","11800","2124","5192","3540","944","8","24000","19000","480","3100","8","1380","165000","13983","11800","13800","1300","15100","4900","0","31800","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","8.8"
"8600","רמת גן","עירייה","תל אביב","175000","8","10","3","31500","5670","13860","9450","2520","8","23500","58000","550","2900","28","1500","680000","21587","11200","13800","1900","15700","4500","0","31400","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","7.4"
"6900","כפר סבא","עירייה","מרכז","103000","8","9","3","23800","4284","10472","7140","1904","8","22000","44000","620","2800","18","1480","340000","14286","10400","13800","1900","15700","4400","0","30500","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","4.4"
"8700","רעננה","עירייה","מרכז","82000","8","9","3","18600","3348","8184","5580","1488","8","24500","36000","590","3000","14","1420","320000","17204","11600","13800","1700","15500","4700","0","31800","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","8.8"
"8300","ראשון לציון","עירייה","מרכז","260000","7","9","4","47500","8550","20900","14250","3800","8","19500","88000","740","2500","55","1650","720000","15158","8900","13800","2600","16400","3900","200","29200","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","-0.1"
"7900","פתח תקווה","עירייה","מרכז","258000","7","9","4","52000","9360","22880","15600","4160","8","18800","95000","780","2400","62","1680","780000","15000","8400","13800","2700","16500","3800","250","28700","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","-1.8"
"6600","חולון","עירייה","תל אביב","198000","7","9","4","36200","6516","15928","10860","2896","8","18200","68000","820","2200","35","1720","460000","12707","7800","13800","2900","16700","3600","300","28100","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","-3.8"
"6200","בת ים","עירייה","תל אביב","129000","5","9","6","20500","3690","9020","6150","1845","9","14200","48000","1150","1700","22","2100","195000","9512","5400","13800","4600","18400","2900","800","26700","83","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-8.6"
"7400","נתניה","עירייה","מרכז","235000","6","8","5","44000","7920","19360","13200","3740","8.5","15800","89000","980","1950","75","1920","510000","11591","6200","13800","3800","17600","3300","600","27100","98","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-7.3"
"8400","רחובות","עירייה","מרכז","152000","7","8","4","32000","5760","14080","9600","2560","8","17500","58000","840","2300","40","1700","390000","12188","7400","13800","2800","16600","3700","300","27700","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","-5.2"
"7000","מודיעין-מכבים-רעות","עירייה","מרכז","100000","8","8","3","26500","4770","11660","7950","2120","8","19200","48000","720","2900","25","1460","180000","6792","7200","13800","1900","15700","4400","150","27300","87","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","-6.6"
"1200","מודיעין עילית","עירייה","יהודה ושומרון","86000","1","6","10","39500","7110","17380","11850","3950","10","6200","76000","1850","600","310","2850","24000","608","1100","13800","8200","22000","1400","2900","24500","12","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-16.2"
"6100","בני ברק","עירייה","תל אביב","222000","2","10","9","79500","14310","34980","23850","7155","9","14800","165000","1420","1100","420","2700","345000","4340","4950","13800","7400","21200","1600","700","27750","59","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","-5"
"8500","רמלה","עירייה","מרכז","78000","4","8","7","18200","3276","8008","5460","1820","10","16400","49000","1280","1600","60","2350","230000","12637","6800","13800","5800","19600","2400","650","28800","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","-1.5"
"700","לוד","עירייה","מרכז","86000","4","8","7","22500","4050","9900","6750","2250","10","15900","58000","1310","1550","85","2380","260000","11556","6400","13800","5900","19700","2300","750","28400","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","-2.8"
"8800","מגדל העמק","עירייה","צפון","27500","5","4","6","5800","1044","2552","1740","580","10","16800","17000","1240","1800","15","2200","68000","11724","5800","13800","5200","19000","2600","500","27400","95","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-6.2"
"2640","ראש העין","עירייה","מרכז","76000","7","8","4","22100","3978","9724","6630","1768","8","12500","39000","850","2100","95","1680","95000","4299","4300","13800","2700","16500","3800","550","24600","53","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","-15.8"
"507","חריש","עירייה","חיפה","41000","5","6","6","14500","2610","6380","4350","1450","10","7400","42000","1650","950","165","2150","21000","1448","1850","13800","4700","18500","2500","2100","22850","21","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","-21.8"
"7800","פרדס חנה-כרכור","מועצה מקומית","חיפה","45000","6","7","5","10400","1872","4576","3120","884","8.5","11800","26000","1020","1850","30","1900","48000","4615","3900","13800","3700","17500","3500","750","24900","51","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","-14.8"
"2600","גדרה","מועצה מקומית","מרכז","31000","6","7","5","8200","1476","3608","2460","697","8.5","11200","21000","1050","1800","24","1880","32000","3902","3600","13800","3600","17400","3600","800","24600","46","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","-15.8"
"2530","קדימה-צורן","מועצה מקומית","מרכז","23000","7","8","4","6100","1098","2684","1830","488","8","13000","16000","910","2200","15","1650","26000","4262","4200","13800","2600","16400","4100","600","24700","52","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","-15.5"
"3000","ירושלים","עירייה","ירושלים","985000","2","7","9","295000","53100","129800","88500","29500","10","11500","480000","1550","1250","1950","2750","1150000","3898","3800","13800","7600","21400","2100","1800","27300","47","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","-6.6"
"2610","בית שמש","עירייה","ירושלים","165000","2","7","9","61000","10980","26840","18300","5800","9.5","8500","125000","1780","900","620","2720","125000","2049","2100","13800","7500","21300","1800","2200","25200","26","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-13.8"
"1063","רהט","עירייה","דרום","82000","1","3","10","32500","5850","14300","9750","3575","11","4800","95000","2450","450","340","2950","26000","800","1200","13800","8600","22400","1100","2950","24700","13","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-15.5"
"1188","חורה","מועצה מקומית","דרום","24000","1","3","10","9800","1764","4312","2940","1078","11","4100","36000","2650","400","120","2980","8500","867","950","13800","8700","22500","900","3100","24350","11","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-16.7"
"1058","כסייפה","מועצה מקומית","דרום","23000","1","3","10","9400","1692","4136","2820","1034","11","3900","35000","2700","380","115","2990","7200","766","900","13800","8750","22550","850","3150","24300","11","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-16.9"
"9000","באר שבע","עירייה","דרום","215000","5","3","6","42000","7560","18480","12600","4410","10.5","17200","84000","1180","2100","65","2220","510000","12143","6900","13800","5200","19000","3100","450","29000","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-0.8"
"70","אשדוד","עירייה","דרום","227000","5","6","6","48000","8640","21120","14400","4560","9.5","16900","92000","1140","2050","80","2200","610000","12708","6800","13800","5100","18900","3200","500","28900","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-1.1"
"4000","חיפה","עירייה","חיפה","285000","7","8","4","46000","8280","20240","13800","4140","9","21500","92000","790","2750","40","1700","950000","20652","10800","13800","2800","16600","4100","200","31500","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","7.8"
"7300","נצרת","עירייה","צפון","78000","3","4","8","21000","3780","9240","6300","2100","10","7800","52000","1820","850","140","2580","88000","4190","2600","13800","6900","20700","1900","1950","25200","38","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","-13.8"
"29","תמר","מועצה אזורית","דרום","1600","7","2","4","420","76","185","126","35","8.3","38000","12000","800","4500","0","1600","240000","571429","24500","13800","2400","16200","4200","0","44900","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","53.6"
"2001","אבו גוש","מועצה מקומית","ירושלים","20000","4","7","7","5600","1008","2464","1680","510","9.1","17680","11648","880","2434","75","2420","28000","5000","6850","13800","6450","20250","2520","1422","29620","77","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","1.4"
"2002","אבו סנאן","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
