cbs_code,authority_name,authority_name_moin,moin_code_col_a,moin_code_col_c,municipal_status,district,population_2024,socio_cluster_2021,socio_rank_2021,socio_value_2021,periphery_cluster_2020,periphery_rank_2020,periphery_value_2020,arnona_residential_4138_tk,arnona_other_4146_tk,arnona_total_4162_tk,arnona_sum_check_diff,arnona_identity_valid,balancing_grant_1819_tk,own_revenue_1805_tk,regular_budget_revenue_40814_tk,regular_budget_expense_40811_tk,education_expense_1486_tk,education_revenue_1384_tk,education_net_difference_tk,municipal_education_self_funding_rate,arnona_other_per_capita_nis,own_revenues_per_capita_nis,own_revenue_share_pct
"2710","אום אל-פחם","אום אל-פחם","3008","92710","עירייה","חיפה",60209,2,21,-1.26558136987645,5,146,0.174701596728514,50764,25822,76586,0,true,43414,131844,473292,478734,250285,216806,33479,13.38,428.87,2189.77,27.86
"31","אופקים","אופקים","2825","50031","עירייה","הדרום",39893,3,63,-0.729950890181144,3,66,-0.467068117421229,42779,21873,64652,0,true,54190,133854,336435,336437,130745,96921,33824,25.87,548.29,3355.33,39.79
"2400","אור יהודה","אור יהודה","2844","52400","עירייה","תל אביב",41130,5,134,0.00540046441061977,8,241,2.4845618745274,72649,108741,181390,0,true,1595,307974,479685,479675,183920,115974,67946,36.94,2643.84,7487.82,64.2
"1020","אור עקיבא","אור עקיבא","2836","51020","עירייה","חיפה",25922,5,131,-0.00937863600593537,6,167,0.422480993230616,38344,36423,74767,0,true,13126,153663,250622,255119,82321,68809,13512,16.41,1405.1,5927.9,61.31
"2600","אילת","אילת","2788","32600","עירייה","הדרום",56004,6,145,0.151388571478724,1,1,-2.48389573900517,88481,263158,351639,0,true,0,491849,771666,776464,245561,205089,40472,16.48,4698.91,8782.39,63.74
"1309","אלעד","אלעד","2918","81309","עירייה","המרכז",50846,2,17,-1.45199767655184,7,224,1.51792210385811,37853,14083,51936,0,true,38548,105860,295748,295658,112295,83029,29266,26.06,276.97,2081.97,35.79
"3570","אריאל","אריאל","2922","83570","עירייה","אזור יהודה והשומרון",22191,6,154,0.22708756891988,5,151,0.220762816096218,25471,36945,62416,0,true,9925,107053,182115,185818,60243,41645,18598,30.87,1664.86,4824.16,58.78
"70","אשדוד","אשדוד","2781","30070","עירייה","הדרום",228562,5,107,-0.245564439646911,7,211,1.20621099163369,319225,594540,913765,0,true,0,1501367,2346531,2346260,930218,691159,239059,25.7,2601.22,6568.75,63.98
"7100","אשקלון","אשקלון","2794","37100","עירייה","הדרום",166864,5,114,-0.134689456330788,6,177,0.571492114081238,203201,395705,598906,0,true,0,998738,1553702,1553699,577133,401407,175726,30.45,2371.42,5985.34,64.28
"6000","באקה אל-גרביה","באקה אל-גרבייה","3016","96000","עירייה","חיפה",31275,4,81,-0.560439029995271,6,170,0.454415130991921,30899,15144,46043,0,true,20328,75129,226129,229230,112539,101611,10928,9.71,484.22,2402.21,33.22
"2530","באר יעקב","באר יעקב","2875","62530","עירייה","המרכז",37491,7,197,0.782741778544783,8,233,1.99659876403229,62700,52931,115631,0,true,0,250123,364272,364173,150490,87593,62897,41.79,1411.83,6671.55,68.66
"9000","באר שבע","באר שבע","2802","39000","עירייה","הדרום",223587,5,117,-0.111061644034676,5,145,0.165809514096028,373049,555323,928372,0,true,0,1648195,2567096,2566883,902349,699539,202810,22.48,2483.7,7371.6,64.2
"9200","בית שאן","בית שאן","2851","59200","עירייה","הצפון",20252,4,97,-0.391525848127436,3,47,-0.609493399747518,25398,23844,49242,0,true,26559,100789,219329,251096,72133,46559,25574,35.45,1177.37,4976.74,45.95
"2610","בית שמש","בית שמש","2846","52610","עירייה","ירושלים",176786,2,15,-1.48493135632558,6,183,0.671239512610704,160194,148438,308632,0,true,61719,487883,988773,1025274,388441,266974,121467,31.27,839.65,2759.74,49.34
"3780","ביתר עילית","ביתר עילית","2850","53780","עירייה","אזור יהודה והשומרון",71697,2,10,-1.91954367084584,5,165,0.333123102538583,34353,23878,58231,0,true,61528,135623,410918,405178,143789,125122,18667,12.98,333.04,1891.61,33
"6100","בני ברק","בני ברק","2768","26100","עירייה","תל אביב",229996,2,14,-1.62747909879985,10,252,3.99418166541613,157458,383246,540704,0,true,101484,1033733,2102395,2115482,910009,755145,154864,17.02,1666.32,4494.57,49.17
"6200","בת ים","בת ים","2769","26200","עירייה","תל אביב",129494,5,109,-0.219492845662228,9,243,2.68342337876259,233045,158392,391437,0,true,53329,704962,1171350,1171089,361908,247593,114315,31.59,1223.16,5443.97,60.18
"681","גבעת שמואל","גבעת שמואל","2806","40681","עירייה","המרכז",29405,8,215,1.13506035246151,10,251,3.89964384721089,65385,27920,93305,0,true,0,162183,237555,232700,93374,61297,32077,34.35,949.5,5515.49,68.27
"6300","גבעתיים","גבעתיים","2770","26300","עירייה","תל אביב",58601,9,244,1.56890733568276,10,255,4.97287929611003,157327,102292,259619,0,true,0,410424,571589,570834,192661,128760,63901,33.17,1745.57,7003.7,71.8
"229","גני תקווה","גני תקווה","2827","50229","עירייה","המרכז",25488,9,239,1.47448107069317,9,246,2.92299140170836,69253,7182,76435,0,true,921,127559,213190,213616,103741,77016,26725,25.76,281.78,5004.67,59.83
"2200","דימונה","דימונה","2786","32200","עירייה","הדרום",39590,4,98,-0.387165506931132,2,22,-0.969496988743827,51273,72983,124256,0,true,40756,214242,423390,423140,127045,88395,38650,30.42,1843.47,5411.52,50.6
"9700","הוד השרון","הוד השרון","2881","69700","עירייה","המרכז",66398,9,243,1.56742905818758,8,236,2.12825796985983,174066,128382,302448,0,true,0,452401,682323,682274,304323,208136,96187,31.61,1933.52,6813.47,66.3
"6400","הרצלייה","הרצליה","2771","26400","עירייה","תל אביב",110884,8,232,1.36071610391604,8,235,2.1274916816227,267728,401412,669140,0,true,0,939042,1292446,1215527,468167,278057,190110,40.61,3620.11,8468.69,72.66
"6500","חדרה","חדרה","2772","26500","עירייה","חיפה",107974,6,148,0.184153504149755,6,189,0.780257057837288,187859,264216,452075,0,true,0,635070,923300,922505,285956,170955,115001,40.22,2447.03,5881.69,68.78
"6600","חולון","חולון","2773","26600","עירייה","תל אביב",191829,7,162,0.37123578034438,9,247,3.04956408875465,328181,431848,760029,0,true,0,1266223,1941209,1841145,766423,528315,238108,31.07,2251.21,6600.79,65.23
"4000","חיפה","חיפה","2753","14000","עירייה","חיפה",297082,7,164,0.390612174986643,6,198,0.907848064704507,639414,1003344,1642758,0,true,0,2919321,3779190,3778802,892236,595687,296549,33.24,3377.33,9826.65,77.25
"1247","חריש","חריש","2914","81247","עירייה","חיפה",41574,5,111,-0.182033165303213,5,150,0.206454630254043,72006,11577,83583,0,true,18153,168783,390156,416274,209140,175699,33441,15.99,278.47,4059.82,43.26
"6700","טבריה","טבריה","2791","36700","עירייה","הצפון",52123,3,55,-0.77858470780807,3,54,-0.561944541902721,63405,97455,160860,0,true,32028,251672,478977,478850,144195,114509,29686,20.59,1869.71,4828.43,52.54
"2730","טייבה","טייבה","3010","92730","עירייה","המרכז",46870,3,71,-0.679551234395242,6,199,0.923731000460152,39174,10151,49325,0,true,29886,91427,220885,220465,84404,74833,9571,11.34,216.58,1950.65,41.39
