"code","cbs_code","name","authority_name","authority_name_moin","moin_code_col_a","moin_code_col_c","district","type","municipal_status","population","population_2024","socio_cluster_2021","cbs_socio_cluster","socio_rank_2021","socio_value_2021","periphery_cluster_2020","cbs_periphery_cluster","periphery_rank_2020","periphery_value_2020","education_expense_1486_tk","education_revenue_1384_tk","education_net_difference_tk","municipal_education_self_funding_rate","regular_budget_expense_40811_tk","regular_budget_revenue_40814_tk","own_revenue_1805_tk","own_revenue_share_pct","own_revenues_per_capita_nis","arnona_residential_4138_tk","arnona_residential_per_capita_nis","arnona_other_4146_tk","arnona_other_per_capita_nis","arnona_total_4162_tk","arnona_total_per_capita_nis","balancing_grant_1819_tk","balancing_grant_per_capita_nis","is_tamar_outlier","is_war_evacuated_2024","anomaly_classification","arnona_identity_valid","provenance"
"2710","2710","אום אל-פחם","אום אל-פחם","אום אל-פחם","3008","92710","חיפה","עירייה","עירייה","60209","60209","2","2","21","-1.26558136987645","5","5","146","0.174701596728514","250285","216806","33479","13.38","478734","473292","131844","27.86","2189.77","50764","843.13","25822","428.87","76586","1272","43414","721.05","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"31","31","אופקים","אופקים","אופקים","2825","50031","הדרום","עירייה","עירייה","39893","39893","3","3","63","-0.729950890181144","3","3","66","-0.467068117421229","130745","96921","33824","25.87","336437","336435","133854","39.79","3355.33","42779","1072.34","21873","548.29","64652","1620.64","54190","1358.38","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2400","2400","אור יהודה","אור יהודה","אור יהודה","2844","52400","תל אביב","עירייה","עירייה","41130","41130","5","5","134","0.00540046441061977","8","8","241","2.4845618745274","183920","115974","67946","36.94","479675","479685","307974","64.2","7487.82","72649","1766.33","108741","2643.84","181390","4410.16","1595","38.78","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1020","1020","אור עקיבא","אור עקיבא","אור עקיבא","2836","51020","חיפה","עירייה","עירייה","25922","25922","5","5","131","-0.00937863600593537","6","6","167","0.422480993230616","82321","68809","13512","16.41","255119","250622","153663","61.31","5927.9","38344","1479.21","36423","1405.1","74767","2884.31","13126","506.37","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2600","2600","אילת","אילת","אילת","2788","32600","הדרום","עירייה","עירייה","56004","56004","6","6","145","0.151388571478724","1","1","1","-2.48389573900517","245561","205089","40472","16.48","776464","771666","491849","63.74","8782.39","88481","1579.91","263158","4698.91","351639","6278.82","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1309","1309","אלעד","אלעד","אלעד","2918","81309","המרכז","עירייה","עירייה","50846","50846","2","2","17","-1.45199767655184","7","7","224","1.51792210385811","112295","83029","29266","26.06","295658","295748","105860","35.79","2081.97","37853","744.46","14083","276.97","51936","1021.44","38548","758.13","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"3570","3570","אריאל","אריאל","אריאל","2922","83570","אזור יהודה והשומרון","עירייה","עירייה","22191","22191","6","6","154","0.22708756891988","5","5","151","0.220762816096218","60243","41645","18598","30.87","185818","182115","107053","58.78","4824.16","25471","1147.81","36945","1664.86","62416","2812.67","9925","447.25","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"70","70","אשדוד","אשדוד","אשדוד","2781","30070","הדרום","עירייה","עירייה","228562","228562","5","5","107","-0.245564439646911","7","7","211","1.20621099163369","930218","691159","239059","25.7","2346260","2346531","1501367","63.98","6568.75","319225","1396.67","594540","2601.22","913765","3997.89","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7100","7100","אשקלון","אשקלון","אשקלון","2794","37100","הדרום","עירייה","עירייה","166864","166864","5","5","114","-0.134689456330788","6","6","177","0.571492114081238","577133","401407","175726","30.45","1553699","1553702","998738","64.28","5985.34","203201","1217.76","395705","2371.42","598906","3589.19","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"6000","6000","באקה אל-גרביה","באקה אל-גרביה","באקה אל-גרבייה","3016","96000","חיפה","עירייה","עירייה","31275","31275","4","4","81","-0.560439029995271","6","6","170","0.454415130991921","112539","101611","10928","9.71","229230","226129","75129","33.22","2402.21","30899","987.98","15144","484.22","46043","1472.2","20328","649.98","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2530","2530","באר יעקב","באר יעקב","באר יעקב","2875","62530","המרכז","עירייה","עירייה","37491","37491","7","7","197","0.782741778544783","8","8","233","1.99659876403229","150490","87593","62897","41.79","364173","364272","250123","68.66","6671.55","62700","1672.4","52931","1411.83","115631","3084.23","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"9000","9000","באר שבע","באר שבע","באר שבע","2802","39000","הדרום","עירייה","עירייה","223587","223587","5","5","117","-0.111061644034676","5","5","145","0.165809514096028","902349","699539","202810","22.48","2566883","2567096","1648195","64.2","7371.6","373049","1668.47","555323","2483.7","928372","4152.17","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"9200","9200","בית שאן","בית שאן","בית שאן","2851","59200","הצפון","עירייה","עירייה","20252","20252","4","4","97","-0.391525848127436","3","3","47","-0.609493399747518","72133","46559","25574","35.45","251096","219329","100789","45.95","4976.74","25398","1254.1","23844","1177.37","49242","2431.46","26559","1311.43","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2610","2610","בית שמש","בית שמש","בית שמש","2846","52610","ירושלים","עירייה","עירייה","176786","176786","2","2","15","-1.48493135632558","6","6","183","0.671239512610704","388441","266974","121467","31.27","1025274","988773","487883","49.34","2759.74","160194","906.15","148438","839.65","308632","1745.79","61719","349.12","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"3780","3780","ביתר עילית","ביתר עילית","ביתר עילית","2850","53780","אזור יהודה והשומרון","עירייה","עירייה","71697","71697","2","2","10","-1.91954367084584","5","5","165","0.333123102538583","143789","125122","18667","12.98","405178","410918","135623","33","1891.61","34353","479.14","23878","333.04","58231","812.18","61528","858.17","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"6100","6100","בני ברק","בני ברק","בני ברק","2768","26100","תל אביב","עירייה","עירייה","229996","229996","2","2","14","-1.62747909879985","10","10","252","3.99418166541613","910009","755145","154864","17.02","2115482","2102395","1033733","49.17","4494.57","157458","684.61","383246","1666.32","540704","2350.93","101484","441.24","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"6200","6200","בת ים","בת ים","בת ים","2769","26200","תל אביב","עירייה","עירייה","129494","129494","5","5","109","-0.219492845662228","9","9","243","2.68342337876259","361908","247593","114315","31.59","1171089","1171350","704962","60.18","5443.97","233045","1799.66","158392","1223.16","391437","3022.82","53329","411.83","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"681","681","גבעת שמואל","גבעת שמואל","גבעת שמואל","2806","40681","המרכז","עירייה","עירייה","29405","29405","8","8","215","1.13506035246151","10","10","251","3.89964384721089","93374","61297","32077","34.35","232700","237555","162183","68.27","5515.49","65385","2223.6","27920","949.5","93305","3173.1","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
